channel,video_id,title,keyword,published_at,CommentId,CommentTitle,CommentCreationTime,CommentLikes
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwCkKfnFKFtlW3u7-R4AaABAg,I genuinely believed that Americans were nice people for the most part.  We are NOT nice people.  We are savage these days.,2024-01-13T02:57:43Z,17
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgxICyfJ7o6npx3A3hh4AaABAg,"There is no such thing as being able to determine hateful and evil in people however, the hats make it easy to identify.",2024-01-13T02:47:11Z,40
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwECrxsm5wscmZHEsR4AaABAg,Who else in America can say all the garbage that Trump says and remains a free person that is allowed to run for President for the third time?,2024-01-13T02:14:53Z,242
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwgV9woIJlhgOMMqFV4AaABAg,Same tactic as Adolf!  Crazy making 😤,2024-01-13T02:09:25Z,24
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugx6Lx3BY-Fd4zUFjQl4AaABAg,"CHRIS, JUST SAY HE IS THE FACE OF RACISM in this country.  It needs to be said.  They all know it anyway.  Just say it already. Thank you.🇺🇸",2024-01-13T02:19:32Z,44
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgyOVqc9IpE7RsJRvpZ4AaABAg,It’s mind boggling how anyone can support trump at this point,2024-01-13T08:34:36Z,64
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgygYhuQeODWl48RbLd4AaABAg,"Usually when someone says ""think of your children"" , the threat is coming from them",2024-01-13T02:59:20Z,9
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugxmlf2VsDHWd3iAChl4AaABAg,"if someone suddenly jumped into your passenger seat in a store parking lot, stuck a gun in your ribs, and said ""drive"", what would you do?  would you fearfully drive to the remote area you just know they were about to direct you to?  or would you take your chances and risk getting shot by purposefully crashing at the first busy intersection?

trumpers are trying to use fear of what they might do now to get us to submit to going down the trump road, where we know the very worst-case scenario would definitely be waiting for us.",2024-01-13T02:34:38Z,69
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwugN3xO947TyoPH8N4AaABAg,"$370 million compensation fines against Trump will keep Donny curled up in the corner sucking his thumb for few days.
Please Mr Engoron, put a smile on our faces😅",2024-01-13T02:18:08Z,17
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgxSVExl_oEGyIXIbb14AaABAg,MGA mob vs. The US Military. My money's on the military,2024-01-13T02:22:45Z,14
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzGEBd2DnT4T7BKq-R4AaABAg,If the Senate Republicans had a spine they would have convicted Trump. The headache would have ended within a year.  I also still have a little hope the US Supreme Court will AFFRIM the ruling of the Colorado Supreme Court,2024-01-13T01:55:07Z,210
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwLaO1JcFnehGEov0Z4AaABAg,They are cowards and they don't want to be found out 😤,2024-01-13T04:13:06Z,7
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzRTEjux39ZjtP1J8p4AaABAg,"Stone, Bannon, Miller, proud Boys",2024-01-13T02:24:50Z,11
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgxRkhJp0re6IAWOKlx4AaABAg,"You newscasters need to cover how the rest of the world, ie our allies, see trump and how having him as president again would affect our relationships around the world.",2024-01-13T02:05:02Z,87
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwQ5SAaTDoUBLlTTzp4AaABAg,Voting Blue is the only way. Higher quality of life. Safer streets. Less division.  Blue is on a roll. Let's not turn back now. Vote Blue for a safer and prosperous society!,2024-01-13T02:35:51Z,18
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgyyA78Ogb50qBoscOZ4AaABAg,Then the maga mob can get used to prison food.,2024-01-13T02:49:57Z,24
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgxJICeCbs73xf9lpSN4AaABAg,Oh Trump... You're why I would rather vote for America over you.,2024-01-13T02:15:38Z,32
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgyT-a0j3BQ1SY2TS-l4AaABAg,Yep... my ex is Iowan. Probably self explanatory. I live on my sailboat in Tampa Bay Florida. The GOP is nuts here too.,2024-01-13T02:52:43Z,14
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgySliCV91e9Uc3DF_J4AaABAg,He has to be stopped.  Vote Blue,2024-01-13T02:20:38Z,33
