channel,video_id,title,keyword,published_at,CommentId,CommentTitle,CommentCreationTime,CommentLikes
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugz0UDyCPDDX20auTD94AaABAg,"ah the land of the free... so long as your white, straight and capitalist",2019-11-04T14:16:12Z,4471
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgxTZouuKWOCjEyeu9h4AaABAg,These “ christian Family Value Leaders “ have always been Monsters.,2019-11-04T16:18:04Z,787
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgyPhy9JjpQb5mYQFUx4AaABAg,"It’s so weird how the US national anthem says “Land of the free” even though for hundreds of years, people of color, people who are LGBTQ, people who are women, people with mental or physical disabilities, people who practice different religions, and other minority groups have not been free to do everyday things. They have been targeted for being “different”. I don’t think that being free or equal in the US actually means free and equal.",2021-05-09T13:53:00Z,80
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgzI7R5PKPdIWAONMBt4AaABAg,"So, they *needed* someone to target? Wow, how disgusting.",2020-05-24T23:44:14Z,132
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgzSOlIrtZJiGckVHdR4AaABAg,"That has to be horrifying knowing that there is always an organization stalking you, spying on you, interrogating you, trying to incriminate you, just because of your sexuality. No person should ever have to go through this.",2020-10-08T22:05:48Z,97
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgxWH3NCg51r_jceKvN4AaABAg,I pray that man eventually loses his PTSD from that committee ):,2019-11-06T01:50:50Z,76
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgzR9hlOuRZ5vvlMxDx4AaABAg,And people say that we became too sensitive and the past was better. Human society disgusts me. Homophobes are lunatics.,2019-11-04T14:27:47Z,5660
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugyx996xndTHKoSDMk14AaABAg,"I just want to give the interviewee, Art, a hug. I can't even imagine the constant terror and anxiety on top of the fear of being outted back then.",2019-11-04T14:40:39Z,149
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugx1--IlVIFnCHMDIFR4AaABAg,Can y’all post more about things you won’t find in a history book,2019-11-04T16:45:56Z,265
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgzikGO4UU0WNPIr3OZ4AaABAg,And to think that some people have the audacity to scream “Straight Pride” because they don’t feel “included” or whatever.,2020-06-25T17:41:14Z,187
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugwax5fgFqlCYCwxrdV4AaABAg,"This is what Some consider Great America...I hope we never have to see such bigotry and hate again. Unfortunately sometimes it seems we’re headed there, especially in the south.",2019-11-04T13:47:47Z,184
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgyxvYBmAz1V6LDQ-sZ4AaABAg,Ahhhhh Florida the state that never stops surprising me with their bigotry.,2019-12-02T00:24:00Z,71
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugwd6L7Q_n2vgOz0AtZ4AaABAg,"Christ. This is what some people want back to, apparently. Or they don't care to know.",2019-11-04T13:04:33Z,4595
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgzVvYy1M7CDGphcB-l4AaABAg,"Wow, this is heartbreaking. And what fantastic reporting!",2019-11-04T13:18:10Z,355
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgwujpeLa-fIfoDiuSB4AaABAg,"I love thes Missing Chapter, for it gives us more dark sides of history rarely if not shown on books and taught in schools.",2019-11-04T16:45:57Z,54
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgwwemUuj8lS1KpWaqR4AaABAg,"The beginning when he started crying and you can hear the interviewer say, “it’s okay” broke my heart. These things affect real people and it’s so horrible to see the aftermath of such horrific events",2022-08-22T21:58:47Z,18
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugy0oUEzMGzyr7ziI7l4AaABAg,"If only as much effort was invested into ending social ills like war, colonialism and all forms of racism. I am beyond disgusted 😣",2019-11-04T21:09:23Z,47
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgxOrG2dKj-vI8c0sEh4AaABAg,Art Copelston.....Thank you for telling us your story. Thank you for facing the terror and pain that you carry from this horror that was perpetrated on you it is important to hear these stories so that we can prevent it from happening again. I am sorry you had to live through this. Vox thank you for recording this horrible part of America's past and it's unfortunate present in some places.,2019-11-18T17:17:50Z,129
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgySClE6zd93-2h50rN4AaABAg,The people who worked for the Johns Comittee deserve to be in jail,2019-11-04T13:36:08Z,1561
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgyNZ-_HSbnISNIjw954AaABAg,"This feels incredibly prescient in today's Florida.



As Mark Twain once said, ""History doesn't repeat itself, but it often rhymed.""",2022-06-08T01:23:55Z,49
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgwG5rFcgNXXAqh8tAt4AaABAg,"as a bisexual, my heart breaks for this man. no one should’ve ever gone through this. but i’m also terrified for my future as my us exchange program starts jan 2020.....",2019-12-16T14:00:40Z,54
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgwVuA2hLfI1-RGcbAF4AaABAg,"Many people in the US still think ""Socialist"" is a insult...",2019-11-05T17:29:02Z,114
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugxd8U5WFJ-NhpmmOSR4AaABAg,I just wanna give that old man a hug,2019-11-04T15:03:00Z,41
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgzHjxljPgJHu02ZlcJ4AaABAg,"my grandfather was part of the police in Tallahassee, the state capitol, back during when all of this was happening. I think he was an officer from 1962 to 1968, based on what he's told me. I have the sinking feeling that he was involved with this in some way.",2019-11-18T04:01:26Z,22
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugxi-WgtoWeOFQdYvC14AaABAg,Mike Pence and his right-wing religious zealots long for these days to return.,2019-11-04T13:44:15Z,3049
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgzcL-xk1Q1gaGv602R4AaABAg,Sweet man❤️ I can’t even imagine the pain of it being illegal to be yourself 😞,2019-11-04T14:16:06Z,66
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugx8G4wFuG14k3DOUwd4AaABAg,My heart broke when teared up over telling his story. To feel that he can’t really “come out” must be heavy on his heart.,2020-06-10T12:28:34Z,43
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgzpxqcK8Y81uf2VBMV4AaABAg,"Even today no wonder people are afraid to come out. I just wanna say, please don’t out people, it’s a complete violation of privacy and you are potentially putting someone in serious danger. It is disgusting",2020-07-26T19:09:55Z,47
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgyWx4sTAX6o_B5X1pV4AaABAg,Blessed and fortunate to live in a time when this is (mostly) a memory and not a fact of life.,2019-11-04T13:17:21Z,179
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugz4bqQtcE6aXowvNBt4AaABAg,"Though we are still not fully accepted, I'm so glad to be born into a time like this, rather than being paranoid and scared in the 1950s.",2020-01-26T16:08:07Z,85
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgzcWmGvv3xX_93JGZl4AaABAg,*Straight pride organizers have left the chat*,2019-11-04T14:52:58Z,415
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgxnxznSBPdoJI0XkJJ4AaABAg,The more I learn about my state's history the less I feel proud to call myself a Floridian.,2021-01-18T13:57:06Z,12
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,Ugy1hvS2J4LoUJcI_9d4AaABAg,"I can't imagine how hard it must be to have gone through trauma and be unable to connect to your community, then openly talk about your story online. This man is so brave.",2020-01-20T16:20:04Z,21
Vox,IbTBehjdlc0,How Florida legally terrorized gay students,Terrorism,2019-11-04T13:00:06Z,UgwFRYkFma_A4d2x1mF4AaABAg,Whenever he gets choked up I get choked up too,2019-11-18T13:59:49Z,39
